,level_0,index,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
0,199,651,3.241585917155,1912.68800249367,-0.267368136126975,135.578576511358,20.2212429463004,330.13250150514,311.398691442815,72.2626213073446,2511.75646446286,198.984858931418,90,4.94714013076868,58.2843234616211
1,200,218,1.74232931294679,1912.7938264652,-0.401741000050345,96.372119176812,22.6391013307519,250.09512230443,507.939903858494,72.8189358408824,2391.96907322475,143.264559538606,0,4.22886225395882,33.9391240774172
2,201,806,2.36140236745807,1912.84593208736,0.324494650161871,146.338944669995,24.0722080139182,243.129816433232,895.759876212189,76.8209329024427,2560.56102757522,232.053970599788,90,7.61043133232177,51.6903741603322
3,202,966,3.51374186722475,1912.87367315409,-0.619557003722684,115.654546965091,26.605044740763,264.335482766219,350.233826533498,75.8821428039956,1958.89580752415,257.193836656537,90,11.4430576796202,54.3625875571229
4,203,641,2.79136649663162,1912.90758255754,-0.67441665320308,94.0280956480272,17.3539845977693,274.541536375087,686.615348565907,72.2913745620455,1739.13829602763,168.067797233876,90,10.9456139522821,66.7229984410698
5,204,567,2.16356686884416,1913.02189891527,-0.404803946414507,129.246402131975,19.2921150044624,348.597737890511,493.708022854382,72.6386954409959,1901.32314371432,204.324647585703,90,0.268755557562593,75.3409289558243
6,205,199,3.80019788355332,1913.27287062087,0.304018168523685,104.017443626687,23.6473535206776,279.795870003654,288.020024220053,68.9490651809167,2177.06495606678,261.154086025295,0,13.2462193161681,77.464111085587
7,206,41,4.31566578217077,1913.37967697839,0.251325153658617,143.576937132067,24.2755880964038,274.988794415536,260.859341082141,75.9573285670879,1639.91252544902,248.244329856063,0,7.65621087508853,33.5710235584788
8,207,409,3.12208926519855,1913.53493716829,-0.279868183887968,113.982339816609,20.582837215584,248.88991061853,673.034447602477,75.7699461016092,2566.6781842232,191.785167269205,0,4.72037353736259,43.7958793701791
9,208,902,2.52020713626208,1913.84990524449,0.136747267990194,136.906079680343,22.0874539902238,219.076489067991,340.839701907753,73.6020429444969,2729.89165626495,182.193280061149,90,7.03924881368388,43.9261188007988
10,209,938,2.76291573511433,1913.86758866351,-0.533514721145391,107.950548558516,18.1576270542456,320.606020982048,712.932497426697,70.4238345775812,2880.32847905652,176.635530153554,90,3.76264020499411,49.6439833469999
11,210,158,2.67845916087314,1914.07926123845,-1.19531271070875,122.104823241077,16.9953034665714,368.651948453106,541.10865988269,76.5065196613926,2521.11393788333,201.244075652458,0,10.8732869754276,32.1954704982308
12,211,870,2.62404527795353,1914.49345836041,0.0440777631285848,143.016076088522,25.8975797423669,288.343742359926,716.929497294131,76.3712676428922,2468.49161140629,173.150018561555,90,5.73529958018795,63.9508946615109
13,212,992,3.74586164324235,1914.62942383135,-0.179387845222091,110.979100102265,25.9226348551446,309.796388247808,628.364549951923,76.0305546867716,2466.9254223266,152.18472038188,90,8.05702025190707,47.0672285194489
